Brand,Color_Group,Stars,Num_Ratings,Num_Reviews,RAM,Storage,Expandable,Processor_Brand,Display,Total_Cameras,Battery_Capacity,Price
realme,Blue,4.4,234630,10133,2 GB RAM ,32 GB ROM,Expandable Upto 256 GB,Other processor,6.5,2,5000.0,7499
realme,Blue,4.5,41927,1982,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,4,5000.0,14999
Nothing,Black,4.3,54077,7045,8 GB RAM ,256 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.55,3,4500.0,27999
vivo,Blue,4.2,1347,81,2 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.51,2,5000.0,7999
POCO,Black,4.3,1189,66,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.71,2,5000.0,8999
POCO,Black,4.3,1675,108,6 GB RAM ,128 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.58,4,5000.0,12599
REDMI,Black,4.2,840,43,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.7,1,6000.0,12168
vivo,Yellow,4.4,1831,126,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.58,4,5000.0,18499
Infinix,Blue,4.3,3865,310,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Other processor,6.6,2,5000.0,11499
Infinix,Other,4.2,16084,1745,6 GB RAM ,64 GB ROM,Expandable Upto 2 TB,Mediatek processor,6.7,3,5000.0,14099
REDMI,Black,4.3,1060,89,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.43,1,5000.0,14990
REDMI,Green,4.3,241457,13909,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.53,2,5000.0,7699
POCO,Yellow,4.2,28462,2197,6 GB RAM ,128 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.58,3,5000.0,13999
OPPO,Blue,4.3,25654,1849,6 GB RAM ,128 GB ROM,Expandable Upto 256 GB,Qualcomm processor,6.43,4,5000.0,14990
REDMI,Silver,4.2,1467,97,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.58,1,5000.0,13595
REDMI,Black,4.2,272,18,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.58,1,5000.0,16438
Nothing,Black,4.3,54077,7045,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.55,3,4500.0,26999
Nothing,White,4.3,54077,7045,8 GB RAM ,256 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.55,3,4500.0,28499
realme,Blue,3.9,281,17,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,1,5000.0,10641
OPPO,Orange,4.4,2235,94,4 GB RAM ,64 GB ROM,Expandable Upto 2 TB,Mediatek processor,6.56,4,5000.0,12499
realme,Black,4.5,16021,1034,4 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.6,4,5000.0,12380
realme,Black,4.4,7785,571,6 GB RAM ,128 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.6,4,5000.0,15499
vivo,Green,4.3,3851,284,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.51,3,5000.0,9499
Infinix,Blue,4.0,4697,409,8 GB RAM ,128 GB ROM,Expandable Upto 256 GB,Unisoc processor,6.6,2,5000.0,11499
APPLE,Other,4.7,4616,346,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.7,3,5000.0,79999
MOTOROLA,White,4.1,4585,564,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.6,4,5000.0,21499
Micromax,Silver,4.2,3459,398,3 GB RAM ,32 GB ROM,Expandable Upto 256 GB,Unisoc processor,6.52,2,5000.0,5999
REDMI,Blue,4.3,241457,13909,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.53,2,5000.0,7699
POCO,Other,4.3,137097,8673,3 GB RAM ,32 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.53,4,5000.0,7999
vivo,Black,4.5,93,2,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.58,3,5000.0,19999
MOTOROLA,Grey,4.1,10942,1515,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.55,4,5000.0,15999
realme,Black,4.3,1062,73,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.4,3,5000.0,16999
realme,White,4.4,4176,306,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.4,3,5000.0,13999
realme,Black,4.4,4176,306,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.4,3,5000.0,13999
